Адрес|Высота потолка|Год постройки|Идентификатор|Материал|Мебель|Общая площадь|Описание|Площадь кухни|Ремонт|Цена|Этаж
Многокомнатн. квартира  в деловом центре, ул. Герцена, 84/2, г. Тюмень|2.8 м|1998|317925|Кирпич|NA|260 м²|Продается большая шикарная квартира, расположенная в центральной части города. В квартире выполнен евро-ремонт с применением качественных отделочных материалов. Огромный холл, большая просторная кухня, просторные светлые комфортные комнаты. Встроенная сауна. Закрытый двор. Вся инфраструктура в шаговой доступности администрация школа, детский сад, городской парк, торговый центр. Плюс подземная теплая стоянка. Звоните. Организую показ.|32 м²|Хороший ремонт|35 000 000 ₽|5 из 9
2 комнатная квартира  в Восточном мкрн., ул. Монтажников, 19, г. Тюмень|NA|1998|452512|Панель|Частично|64.1 м²|Продается просторна квартира в развитом районе города. Удачная планировка, две изолированные комнаты, две лоджии, кухня 13,2 кв.м. При продаже все, что на фото остается. По всей квартире установлены пластиковые окна, также имеются счетчики ГВС и ХВС. Тамбур на 2 квартиры. Соседи рядом адекватные и тихие.|13.2 м²|Обычное состояние|4 800 000 ₽|7 из 9
2 комнатная квартира  в районе Центральная часть, ул. Коммунальный переулок, 2, с. Кулаково|NA|1970|390651|NA|NA|40.5 м²|Предлагаем Вашему вниманию квартиру в экологически чистом районе - 15км от города Тюмени по живописному Ирбитскому тракту. Село Кулаково - развитая инфраструктура, школы, садики, поликлиники,торговые центры.|10 м²|Обычное состояние|1 999 000 ₽|2 из 2
3 комнатная квартира  в Тюменском-2 мкрн., ул. Суходольская, 18, г. Тюмень|2.7 м|2013|448252|Монолитно-кирпичный|NA|103 м²|Продаётся отличная квартира для большой семьи!|30 м²|Хороший ремонт|9 800 000 ₽|3 из 16
2 комнатная квартира  в районе Ожогина / Патрушева, ул. Николая Никитина, 2/1, ЖК «Квартал 1964», г. Тюмень|NA|2020|483860|Панель|Без мебели|67.31 м²|"Вашему вниманию предлагается просторная квартира, со свежим качественным ремонтом. Дом находится в динамично-развивающемся районе. Всё необходимое имеется в шаговой доступности: магазины, остановки общественного транспорта, школы, детские сады, торгово - развлекательный центр ""Остров""."|18 м²|Хороший ремонт|5 715 000 ₽|10 из 16
3 комнатная квартира  в районе Ожогина / Патрушева, ул. Федюнинского, 30/3, |NA|2019|433160|Блоки|Полностью|86 м²|"Предлагаю вашему вниманию уникальное предложение, квартира с новым дорогим ремонтом дизайн-проект и мебелью. В жилом комплексе ""Ожогино"". По соседству с домом лесной массив-заповедник ""Тополя"", что дает ощущение загородного формата жизни и свежего воздуха. Квартальная застройка, дома не выше 4 этажей. В квартире самой выполнен качественный ремонт из дорогих материалов, все в светлых и пастельных тонах. Данный вид ремонта целиком и полностью построен по дизайн-проекте. Удачная планировка евро формата. Теплый полы. Санузел в кафеле. Двор закрыт для посторонних, на входе установлен видео домофон. Вход в парадную организован на одном уровне с тротуаром без лестниц и пандусов. В каждой парадной есть лифт, на котором можно спуститься с этажа в теплый подземный паркинг. Машинное место входит в стоимость кварты. Вдоль жилых домов располагается пешеходный бульвар длиной 750 м. Звоните, данное предложение нужно видеть своими глазами и я познакомлю вас ближе с данным ЖК. Объект в продаже до конца февраля, успевайте. Звоните в удобное время для вас!"|40 м²|Дизайн-проект|13 500 000 ₽|4 из 4
1 комнатная квартира  на КПД в районе 50 лет Октября, ул. 50 лет Октября, 75/1, |NA|2018|461265|Монолитно-каркасный|Частично|48.5 м²|Продается квaртира в жилом комплексе «Славутич» на пересечении улиц 50 лет Октября и Пермякова в хорошем районе с развитой инфраструктурой и удобной транспортной развязкой. В квартире сделан косметический ремонт.|15.8 м²|Обычное состояние|4 550 000 ₽|3 из 18
1 комнатная квартира  в Тюменском-3 мкрн., ул. Николая Зелинского, 23/1, г. Тюмень|2.65 м|2010|453195|Монолитно-каркасный|Частично|37.1 м²|"Предлагается к продаже хорошая квартира, теплая, высокие потолки, санузел в кафеле. Сделана стяжка пола, ровные стены. Рядом находится детский сад №186 ""Волчок"", школа № 92, ТРЦ ""Лента"", ""Кристалл"", хорошая транспортная развязка."|10 м²|Обычное состояние|4 000 000 ₽|3 из 16
3 комнатная квартира  в районе Ожогина / Патрушева, ул. Федюнинского, 56/2, |NA|2019|474460|Панель|Частично|93 м²|Продается отличная квартира с ремонтом! Закрытый двор, 2 балкона с качественным ремонтом, в квартире почти никто не проживал.|15 м²|Хороший ремонт|7 250 000 ₽|15 из 16
4 комнатная квартира  в Восточном мкрн., ул. Народная, 10, г. Тюмень|NA|2002|343729|Панель|NA|110.5 м²|Месторасположение дома вам точно понравится: рядом остановка, медицинский центр, стоматология, детский сад, школа и многое многое другое, что необходимо для комфорта всей семьи.|13.7 м²|Хороший ремонт|6 980 000 ₽|7 из 10
3 комнатная квартира  в 1 микрорайоне, ул. Широтная, 109, г. Тюмень|NA|1995|464076|Кирпич|Без мебели|62.6 м²|Вашему вниманию предлагаю отличную квартиру в лучшем районе города! Сделан качественный ремонт, стены и потолки идеальны, пол выложен надежным паркетом, на кухне и в ванной комнате качественный кафель. Окна выходят в тихий закрытый двор, а это значит, что тишина и спокойствие Вам обеспечены. Рядом с домом есть детские сады и школа, в шаговой доступности все что необходимо для комфортного проживания! Ищешь квартиру мечты - это она!|8 м²|Хороший ремонт|4 750 000 ₽|1 из 12
Студия в районе Мыс, ул. Тимофея Чаркова, 83, |NA|2020|450496|Монолитно-каркасный|Без мебели|20.5 м²|"Продается уютная и теплая квартира с улучшенной черновой отделкой. Дом имеет выгодное расположение, закрытый двор, из его окон открываются виды на ""Звездный городок"" и ТРЦ ""Сити Молл"", с другой стороны в скором времени будет расположен пешеходный бульвар, школа и детский сад."|4.6 м²|Улучшенная черновая|2 355 000 ₽|5 из 12
1 комнатная квартира  в районе Нефтяник, ул. Избышева, 6, Жилой квартал «Нефтяник», г. Тюмень|2.5 м|2015|282949|Кирпич|NA|38 м²|Продаю квартиру в закрытом жилом комплексе с шикарным дизайнерским ремонтом! Светлые стены визуально расширяют пространство! Большая застекленная утепленная лоджия лоджия позволила разместить на ней кухню и теперь в однокомнатной квартире есть большая гостиная и отдельная спальня! Двор закрытый с видеонаблюдением. Во дворе расположена большая детская площадка. В шаговой доступности от комплекса детский сад, факультет Тюменского Госуниверситета.|8 м²|Дизайн-проект|4 600 000 ₽|8 из 9
3 комнатная квартира  в районе ул.Елизарова, ул. Елизарова, 12, Жилой комплекс «Елизарова», г. Тюмень|NA|2016|485217|Кирпич|Без мебели|108.5 м²|Продается просторная квартира у сдобной планировкой в самом центре города. Вся инфраструктура в пешей доступности: школа, детский сад, торговые центры, больницы, институты, остановки и многое другое.|12 м²|Хороший ремонт|7 450 000 ₽|2 из 16
1 комнатная квартира  Тобольского тракта, ул. Тимофея Чаркова, 81/2, |2.6 м|2018|418568|Монолитно-каркасный|Без мебели|34.9 м²|"Квартира в новом развивающемся районе. Дом сдан и заселён. Квартира на комфортном этаже с косметическим ремонтом, комнаты почти квадратной формы, розетки, выключатели, разводка под кухонный гарнитур. Балкон почти 4 м2 не входит в общую площадь, т.е. плюсом. В подарок теплый паркинг для вашего авто! Инфраструктура района развита, в пешей доступности детский сад №65, школы № 48, №91, клиника ""Доктор А"", поликлиника, аптеки, магазины, ТРЦ ""Сити Молл"" в двухстах метрах от дома, остановки общественного транспорта и многое другое! В 5-7 минутах езды находится ТЦ ""Лента"" и ТЦ ""Леруа Мерлен""."|16 м²|Обычное состояние|3 550 000 ₽|6 из 19
3 комнатная квартира  в районе Стрела, ул. Карла Маркса, 12, г. Тюмень|NA|1968|484845|Кирпич|Частично|60.8 м²|Предлагаем Вашему вниманию квартиру-распашонку, окна квартиры выходят на обе стороны дома. Состояние квартиры хорошее. Тихий, спокойный район, рядом сквер Комсомольский для прогулок. Хороший вариант для многодетной семьи и людей преклонного возраста, квартира на первом этаже, очень теплая. Комнаты правильной формы, все изолированные. Без обременений, один взрослый собственник, более пяти лет в собственности. Услуга ипотечного брокера для Вас бесплатна.|5.5 м²|Хороший ремонт|3 680 000 ₽|1 из 5
3 комнатная квартира  в районе Суходолье, ул. Широтная, 172/3, Жилой комплекс «Юбилейный», г. Тюмень|NA|2013|440411|Панель|NA|85.1 м²|Очень просторная, светлая и функциональная квартира. В квартире сделан хороший ремонт, натяжные потолки, в санузле плитка. При продажи остаётся кухонный гарнитур со встроенной техникой, остальная мебель по договоренности. В шаговой доступности, школа, детский сад, поликлиника.|18 м²|Хороший ремонт|6 600 000 ₽|13 из 14
Студия в районе Югра, ул. Велижанская, 66, |2.75 м|2020|435777|Монолитно-каркасный|NA|21.9 м²|Уютная теплая студия для молодой семьи в районе с развитой инфраструктурой, рядом три детских сада, гимназия, поликлиника. Выполнена стяжка пола и гидроизоляция в санузле. В доме современная отделка, бесшумные лифты, видеонаблюдение в подъездах и лифтах. Закрытый двор с современной детской площадкой. Показ в любое время. Помощь в оформлении ипотеки. Звоните!|5 м²|Хороший ремонт|2 500 000 ₽|14 из 19
3 комнатная квартира  в районе ул.Малыгина, ул. 50 лет ВЛКСМ, 15/1, г. Тюмень|NA|2008|341267|Монолитно-каркасный|NA|110 м²|Прoдаетcя квартирa в центpе гоpoда.|18 м²|Хороший ремонт|8 000 000 ₽|9 из 15
2 комнатная квартира  в районе Технопарка, ул. Котовского, 52, г. Тюмень|2.65 м|1964|481795|Кирпич|Частично|43.3 м²|Квартира в центральном районе города. В шаговой доступности детские сады, школы, ВУЗы, медицинские учреждения, торговые центры, аптеки. Квартира теплая, подъезд после косметического ремонта, чистый. Во дворе достаточно парковочных мест для Вашего автомобиля. Звоните!|7 м²|Требует ремонта|3 160 000 ₽|4 из 5
Студия в районе Лесобаза (Тура), ул. Стартовая, 5, г. Тюмень|NA|2011|430252|Панель|NA|44 м²|Представляю к продаже эксклюзивную квартиру-студию. Квартира с функциональной планировкой: кухонная зона отделена от спальной, гардеробная, санузел совмещен, балкон застеклен. Квартира с ремонтом, мебелью и техникой . Окна выходят на юго-восток, во двор. Вас будет баловать утреннее солнышко. Про двор. На площадках комплекса будет не скучно не только ребёнку любого возраста но и взрослому. Тренажерный корт, турник, футбольное поле, качели, горки, лазалки, памп трек, мангальные зоны. На территории комплекса планируется строительство детского сада. Большое количество парковочных мест. Видеокамеры. Про район. Лучшая инфраструктура для жизни и воспитания детей. Гимназия, из окна видно как ребёнок дошёл до школы. Новый детский сад. Поликлиника. В районе с одной стороны есть вся инфраструктура для жизни, с другой стороны он ещё развивается и будет очень много интересного. Подумаете дорого? Это предложение для тех, кто не хочет ждать свою новостройку, заниматься ремонтом (не дешёвое удовольствие), слушать, когда закончат ремонт соседи. Вам нужно только привезти ваши личные вещи и посуду.|6 м²|Дизайн-проект|3 700 000 ₽|6 из 9
2 комнатная квартира  в районе студгородка, ул. Одесская, 18А, г. Тюмень|NA|1987|480809|Панель|Частично|47 м²|Уютная, светлая квартира в центральной части города. Сделан косметический ремонт, можно сразу переехать и жить.|7 м²|Обычное состояние|3 750 000 ₽|4 из 8
3 комнатная квартира  в районе Матмасы, ул. Пражская, 22, г. Тюмень|NA|1974|479410|Кирпич|Полностью|61 м²|Продается 3-х комнатная квартира в районе Матмассы. В квартире выполнен косметический ремонт. Тихий двор, поблизости находятся школа, магазины, поликлиника, хорошая транспортная развязка. Плюс квартиры – относительно небольшая цена прекрасная площадь. Все комнаты изолированные, высокие потолки. Соседи спокойные, семейные. Плита газовая. Санузел раздельный в кафеле. Под балконом есть небольшой участок земли, где вы сможете посадить цветы или организовать небольшой огород. До центра города 7-10 минут на автомобиле.|8 м²|Обычное состояние|3 300 000 ₽|1 из 2
2 комнатная квартира  в районе Дом обороны (Бабарынка), ул. Бабарынка, 20А, г. Тюмень|NA|1980|472450|Панель|Полностью|31 м²|Продаётся просторная, светлая, очень тёплая квартира в районе Бабарынка, в 10 минутах езды от центра. В квартире оставляем при продаже всё, что на фото: кухонный гарнитур, электро плита, кровать, шкаф, комод, стол. Две комнаты с выходами на лоджию. Очень просторная лоджия. Санузел совмещен, также просторен. Существенным преимуществом квартиры является наличие тамбура, где можете хранить личные вещи! Придомовая территория ухожена, имеются парковочные места, детская площадка. Рядом находится Эко-парк и Воронинские горки. В 50 метрах автобусная остановка, уехать можно в любой район города. Звоните, организуем показ, при необходимости помощь в оформлении и одобрении ипотеки на выгодных условиях кредитования для Вас, полное юридическое сопровождение и гарантии успешной сделки. Предлагайте свою цену, договоримся!|8 м²|Обычное состояние|1 499 000 ₽|7 из 8
3 комнатная квартира  в Восточном 2 мкрн., ул. Широтная, 209, г. Тюмень|NA|2012|220718|Кирпич|NA|92 м²|Планировка рациональна: большие комнаты и кухня, два санузла. В квартире выполнен хороший ремонт с применением качественных отделочных материалов. Установлены окна ПВХ, межкомнатные и входная двери заводского изготовления. Будущим хозяевам остается красивый кухонный гарнитур, в детской комнате корпусная мебель. Дом расположен в районе со сложившейся инфраструктурой: рядом множество торговых центров. В непосредственной близости находятся средняя школа и детские сады. В нескольких минутах ходьбы от дома разбиты уютные скверы. Удобная транспортная схема позволит добраться в любой район города очень быстро.|14 м²|Хороший ремонт|7 100 000 ₽|3 из 14
2 комнатная квартира  в районе Центральная часть, ул. Мира, 18, п. Боровский|2.6 м|1983|411217|Кирпич|NA|63.1 м²|Продается просторная квартира на ул Мира в Боровском, возможно с мебелью. Развитая инфраструктура района, есть магазины, садик, аптеки и т.д. Зеленый двор, ходит автобус в Тюмень каждые полчаса, остановка в шаговой доступности.|10 м²|Обычное состояние|3 420 000 ₽|3 из 5
2 комнатная квартира  в районе За ЖД линией, ул. Вокзальная, 1Г, п. Винзили|NA|2014|423539|Кирпич|Без мебели|60.2 м²|Квартира с хорошим ремонтом и удачным планировочным решением. Просторные изолированные комнаты, две лоджии. На полу ламинат, на стенах обои под покраску, в санузле плитка. В пешей доступности торговые центры, школа, детский сад, автовокзал. Свободна от проживания, подходит по сельской ипотеке и жилищным сертификатам. Документы к продаже готовы. Просмотр по предварительной договоренности.|12 м²|Хороший ремонт|1 550 000 ₽|2 из 5
3 комнатная квартира  в районе Московского тр., ул. Московский тракт, 139, г. Тюмень|NA|1992|470134|Кирпич|Полностью|58.5 м²|Светлая, просторная квартира в доме кирпичного исполнения. Сделан косметический ремонт, при продаже остаётся кухонный гарнитур. Расположен в районе с развитой инфраструктурой, рядом школа, детский садик, торговые центры. В шаговой доступности автобусная остановка. Документы к продаже готовы.|9 м²|Обычное состояние|4 545 000 ₽|5 из 5
2 комнатная квартира  в районе Нефтяник, ул. Избышева, 8, Жилой квартал «Нефтяник», г. Тюмень|3 м|2015|477886|Кирпич|Частично|63.2 м²|В связи с переездом продаётся 2-х комнатная квартира с большой кухней (14 кв.м) и лоджией (застеклена, утеплён пол) во всю кухню. |14 м²|Хороший ремонт|4 980 000 ₽|1 из 9
2 комнатная квартира  в районе Стрела, ул. Карла Маркса, 12/1, г. Тюмень|NA|2007|480200|Кирпич|Частично|71.5 м²|"Предлагаем Вашему вниманию отличную светлую просторную квартиру с кухней-гостиной. Современный ремонт, с установленной системой ""теплый пол"" и бойлер в ванной комнате и кондиционер в гостиной, комнаты правильной формы, просторная прихожая. Закрытый двор, вокруг тишина и покой, дом окружён частным сектором, рядом 3 детских сада, 2 школы, до центра одна остановка. Чистейший подъезд. Во дворе две детские площадки, двор закрытый, что обеспечит вашу безопасность."|15 м²|Хороший ремонт|5 900 000 ₽|1 из 10
4 комнатная квартира  в деловом центре, ул. Кузнецова, 16, г. Тюмень|NA|1983|122747|Кирпич|NA|77 м²|"Представляю Вашему вниманию замечательную четырехкомнатную квартиру, расположенную в историческом центре Тюмени. Квартира просторная, светлая, сделан качественный ремонт с применением современных строительных материалов. Пластиковые стеклопакеты, паркет, массивные деревянные межкомнатные двери, дорогая сантехника, надежная железная входная дверь. По договорённости оставим частично мебель и бытовую технику. Двор тихий, много зелени и насаждений. Большая детская площадка. Огороженная площадка для выгула ваших питомцев. По близости расположены Средняя общеобразовательная школа № 15, Детский сад № 122, Гимназия № 1, Медицинский центр охраны здоровья и семьи ""МироМед"". Неподалеку ЖД вокзал и ДК Железнодорожник. В нескольких минута ходьбы находится одно из лучших мест для отдыха с семьёй и детьми - Парк Отдыха, Цирк, Цветной бульвар. Квартира готова к заселению. Желающим приобрести данную квартиру через ипотеку, будут предоставлены льготные условия от банков-партнеров (при условий, что квартира будет куплена через АН СОВА)"|12 м²|Обычное состояние|4 795 000 ₽|1 из 6
1 комнатная квартира  в районе Ожогина / Патрушева, ул. Федюнинского, 56, |2.6 м|2019|472798|Панель|Без мебели|47.4 м²|"Квартира по адекватной цене, в связи со срочной продажей, очень светлая, зимой жара, большая, с удобной планировкой, распашонка (большая редкость найти такую квартиру в продаже), вид из кухни на ТЦ ""Остров"", спальная с балконом во двор. В квартире проживает молодая пара всего 4 месяца. Кухня-гостиная 20 кв.м позволяет вместить полноценный раскладной диван. Внизу все продуктовые магазины в каждом доме, все в шаговой доступности для проживания. Сквозной подъезд на ул.Федюниского и во двор (закрытый двор)."|20 м²|Хороший ремонт|4 200 000 ₽|12 из 16
Студия в районе Тюменская слобода, ул. Вадима Бованенко, 1, |2.7 м|2019|463818|Монолитно-каркасный|Без мебели|32.5 м²|"К продаже предлагается просторная студия в одном из самых популярных районов города - ""Тюменской слободе!"" Высота потолков - 2,7 м. Улучшенная черновая отделка: ровные стены и качественная стяжка пола. Два лифта: грузовой и пассажирский. Все оборудование для детских площадок выполнено в эко-стиле из натурального дерева. Район с развитой инфраструктурой: новая гимназия №49, детский сад №60, готовая поликлиника. Около дома остановка общественного транспорта с маршрутами в любую точку города. Рядом лес, на территории которого в ближайшее время оборудуют современный экопарк."|6 м²|Улучшенная черновая|2 950 000 ₽|12 из 19
2 комнатная квартира , ул. Советская, 32, с. Борки|2.5 м|1962|214504|Кирпич|NA|41.8 м²|Квартира в доме, расположенном прямо напротив школы и детского садика. Магазин в одной минуты ходьбы от дома. Квартира тёплая и тихая. Отличный вариант для семьи с детьми. Остановка автобуса буквально в 300 метрах.|5 м²|Требует ремонта|900 000 ₽|1 из 2
3 комнатная квартира  в районе Мыс, ул. Судоремонтная, 28, г. Тюмень|NA|2011|282351|Панель|NA|89 м²|Отличная квартира с современным ремонтом, установлены качественные пластиковые окна, потолки выровнены, стены оклеены обоями, на полу ламинат, санузел в кафеле, установлены приборы учета воды. При продаже в квартире остается мебель и техника- кухонный гарнитур со встроенной техникой (вытяжка, посудомоечная машинка, варочная панель, духовой шкаф, холодильник, стиральная машинка), шкаф- купе в коридоре, и во всех трех комнатах, 2-х спальная кровать с матрацем, прихожая.|36 м²|Хороший ремонт|6 900 000 ₽|4 из 10
Студия в районе Мыс, ул. Тимофея Чаркова, 79, |NA|2017|487342|Монолитно-каркасный|Частично|28.3 м²|"Продаётся студия. Звездный городок, очень удобное месторасположение, рядом ТЦ ""Сити Молл"", через дорогу достраивается школа и детский сад. Очень хорошая детская площадка, двор закрытый! Рядом с домом находится многоуровневый паркинг с тёплым переходом прямо из подъезда. Есть балкон."|4 м²|Хороший ремонт|3 500 000 ₽|3 из 19
2 комнатная квартира  в районе Суходолье, ул. Михаила Сперанского, 35, |NA|2014|429640|Монолитно-каркасный|NA|56.9 м²|Продается квартира в одном из самых востребованных районов города Тюмени. Выполнен косметический ремонт:на полу плитка, паркет и пробка. Стены под покраску, потолок выровнен. В санузле плитка.|13 м²|Хороший ремонт|5 200 000 ₽|11 из 17
2 комнатная квартира  в районе Дом Обороны (Авторемонтная), ул. Авторемонтная, 21, г. Тюмень|NA|1975|481998|Кирпич|Частично|46.3 м²|К вашему вниманию 2-х комнатная квартира, в кирпичном доме, в спокойном районе Дома обороны. Состояние квартиры обычное, пластиковые окна, на кухне и коридоре натяжные потолки, мебель частично остается, санузел и ванная отдельные, стоят счетчики воды. Зимой в квартире тепло, летом нежарко, шумоизоляция отличная. Подъезд чистый и аккуратный, во дворе зеленая зона и рядом с домом авто парковка. Через дорогу монетка, отличная транспортная развязка.|6 м²|Обычное состояние|3 550 000 ₽|4 из 5
2 комнатная квартира  в районе Нефтегазового университета, ул. Харьковская, 59/5, г. Тюмень|NA|2009|483198|Кирпич|Полностью|65 м²|Продается отличная квартира в центре города, дом индивидуальный проект, расположен во дворе, изолирован от шумных дорог, вас не будут беспокоить шумные улицы. В доме находится управляющая компания, школа английского языка, 2 школы танцев, тхэквондо, подготовка к школе. В соседнем доме фитнес клуб «Колизей». Вход в подъезд с уровня земли (что очень удобно для колясок). Два лифта (грузовой и пассажирский), видеонаблюдение придомовой территории и в подъезде, домофон, подземный паркинг. Во дворе достаточно парковочных мест. Чистый подъезд, соседи отличные. Район с хорошей инфраструктурой, отличная транспортная развязка, остановка рядом, маршруты в любой конец города. Во всей квартире пластиковые окна, в том числе и на лоджии, интернет, счетчики воды, на полу делали качественную стяжку, все стены выровнены под маяк, на потолке делали хорошую шумоизоляцию. Окна выходят на разные стороны. При продаже в квартире остается встроенный кухонный гарнитур (дерево, не мдф) со встроенной бытовой техникой (новый духовой шкаф Electrolux c функцией пиролитической очистки, посудомоечная машинка Bosch, два встроенных шкафа в зале и прихожей, шкаф в спальне и кровать. |12 м²|Хороший ремонт|5 900 000 ₽|11 из 14
3 комнатная квартира  в Восточном 2 мкрн., ул. Широтная, 193/1, г. Тюмень|2.7 м|2011|331270|Кирпич|NA|76 м²|Предлагается Вашему вниманию просторная, светлая квартира в Восточном районе города. В квартире выполнен современный ремонт из качественных материалов. Эргономичная планировка позволяет максимально задействовать площадь квартиры и расставить мебель. Квартира меблирована и укомплектована всей необходимой техникой. Инфраструктура района отлично развита, в шаговой доступности есть абсолютно все необходимое для комфортного проживания. |20 м²|Дизайн-проект|6 350 000 ₽|10 из 10
2 комнатная квартира  в Тюменском-3 мкрн., ул. Николая Семенова, 21, Жилой комплекс «на Менделеева», г. Тюмень|2.6 м|2015|409940|Панель|NA|66.3 м²|Предлагается к продаже просторная светлая квартира. В квартире сделан качественный ремонт с использованием дорогостоящих материалов. Двухуровневые натяжные потолки, на стенах флизелиновые обои (Италия), пол - ламинат (33 класс), по всей квартире теплый пол, проложена трасса и кабель под кондиционер. В ванной комнате джакузи двухместное, унитаз (система инсталяция). Кухонный гарнитур, который остаётся при продаже, выполнен из массива, установлена дорогая техника (варочная панель, духовой шкаф, встроенная СВЧ печь, посудомоечная машина, вытяжка, фильтры питьевой воды). В спальне оборудована гардеробная. При продаже остается вся встроенная мебель, остальное обсуждается индивидуально. Дом расположен в районе с развитой инфраструктурой. Вблизи 6 ТЦ (Лента, Метро, Кристалл, Ашан, ЛеруаМерлен, Орион), рынок Михайловский, Юг. Во дворе дома детский сад Василек, в шаговой доступности дет сад Петрушка , школа92 и гимназия 83. Транспортная развязка во все районы города. |14 м²|Хороший ремонт|6 950 000 ₽|2 из 14
1 комнатная квартира  в районе Московского тр., ул. Московский тракт, 135/3, г. Тюмень|NA|2006|433620|Кирпич|Частично|65 м²|"Квартира светлая и уютная. Теплая. Хорошие соседи. Во дворе есть парковочные места, детская площадка. Рядом расположен ТЦ "" Колумб"", магазины, аптеки. Поликлиника "" Доктор А"". Хорошая транспортная развязка."|13 м²|Хороший ремонт|4 200 000 ₽|2 из 10
2 комнатная квартира  в районе КПД (Геологоразведчиков), ул. проезд Геологоразведчиков, 21, г. Тюмень|NA|1970|486332|Кирпич|Частично|41.9 м²|Двухкомнатная квартира в самом центре города. Во время ремонта во всей квартире выравнивался пол. Ламинат во всей квартире, в санузле плитка. Санузел объединили, перепланировка узаконена. Встроенная мебель, шкафы, кухонный гарнитур с варочной поверхностью и духовым шкафом остаются при продаже. Без балкона!|6 м²|Обычное состояние|3 150 000 ₽|4 из 5
2 комнатная квартира  в районе Нефтяник, ул. Избышева, 6, Жилой квартал «Нефтяник», г. Тюмень|NA|2015|474107|Кирпич|Полностью|65.7 м²|"Предлагаем просторную, теплую, уютную квартиру в новом кирпичном доме. Квартира ухожена с хорошим косметическим ремонтом, окна выходят на две стороны, много света, прекрасный вид. Закрытый двор, много зелени и прекрасно оборудованная детская площадка обеспечит комфорт и безопасность ваших детей. Два окна выходят во двор одно на детский сад, расположенный у дома. При продаже остается вся мебель и техника, ""заезжай и живи""! Рядом с домом есть все необходимое для удобства жителей: садик, школа, магазины, салоны, остановка общественного транспорта. Достаточно парковочных мест. Прекрасный вариант для семьи - новая квартира без дополнительных затрат! Все включено! При этом торг не исключен!"|9.9 м²|Хороший ремонт|4 800 000 ₽|7 из 9
