Адрес|Высота потолка|Год постройки|Идентификатор|Материал|Мебель|Общая площадь|Описание|Площадь кухни|Ремонт|Цена|Этаж
2 комнатная квартира  в районе ул.Елизарова, ул. Мельникайте, 32/2, |NA|2019|382641|Монолитно-каркасный|Без мебели|81 м²|Квартира формата 2+ в перспективном ЖК Правобережный с шикарным видом на реку. Выполнен качественный ремонт с использованием дорогих материалов. Установлен кондиционер. В комплексе оборудована собственная набережная.|30 м²|Хороший ремонт|8 200 000 ₽|17 из 17
Студия в районе Тарманы, ул. Тимофея Чаркова, 28, |2.7 м|2019|457493|Монолитно-каркасный|Без мебели|20 м²|Квартира в в одном из самых динамично развивающихся районов города! В квартире выполнен частичный ремонт, полы залиты, выровнен пол, стены под маяк. В ванную комнату куплена плитка. Срочная продажа.|3 м²|Улучшенная черновая|2 150 000 ₽|13 из 20
2 комнатная квартира  в районе Дом Обороны, ул. Октябрьская, 12, г. Тюмень|NA|1951|464361|Дерево|Частично|33.4 м²|Продается двухкомнатная квартира в одноэтажном доме. Комнаты изолированы. Отопление печное. Под кухней есть небольшой погреб для хранения солений. Установлены счетчики на воду. Крыша заменена, а также трубы и проводка. Установлены пластиковые окна. Имеется септик. Также имеется веранда площадью 11,5 в.м.|10.2 м²|Обычное состояние|1 999 000 ₽|1 из 1
4 комнатная квартира  в районе ул.Малыгина, ул. Седова, 15, г. Тюмень|2.8 м|1982|373606|Кирпич|NA|100 м²|Предлагаем вашему вниманию замечательную квартиру с очень удобной планировкой в центре города Тюмени. Уютная, светлая и тёплая. В квартире сделан ремонт из качественных материалов, высокие потолки выровнены натуральной гипсовой лепниной, паркет дубовый, двери и окна заменены. При продаже оставим кухонный гарнитур со встроенной техникой и встроенный гардеробный шкаф в кабинете. В подъезде всего 10 квартир (по 2 квартиры на этаже), всегда чистота и порядок, хорошие соседи. В 2019 году был сделан капитальный ремонт подъезда и дома. Во дворе дома находится детский сад, школа и новая детская площадка. Вся необходимая инфраструктура в шаговой доступности. Приглашаем на просмотр.|12 м²|Хороший ремонт|9 000 000 ₽|4 из 5
Студия в районе Плеханово, ул. Кремлевская, 112/4, |NA|2015|470886|Монолитно-кирпичный|Частично|28 м²|"Предлагается к продаже квартира с хорошим свежим ремонтом, на полу линолеум. Отличное расположение, хорошая транспортная развязка. Рядом находится детский сад "" Счастливое детство"". Район активно застраивается и развивается."|8 м²|Хороший ремонт|3 270 000 ₽|2 из 16
1 комнатная квартира  в районе Московского тр., ул. Новосибирская, 129, г. Тюмень|2.7 м|2006|489488|Панель|Частично|46 м²|Продаётся просторная однокомнатная квартира в высоко развитом районе города.|15 м²|Обычное состояние|3 680 000 ₽|2 из 10
3 комнатная квартира  в районе Плеханово, ул. Кремлевская, 114, |2.6 м|2018|471511|Кирпич|Частично|110.7 м²|Продаётся уютная, очень теплая просторная квартира с большой кухней в новом районе. В квартире сделан современный ремонт, на полу ламинат. На кухне и в коридоре кафель и установлен теплый пол, стены оклеены обоями под покраску. Во всей квартире натяжные потолки. В квартире два балкона, оба застеклены, утеплены и также установлен теплый пол. Окна выходят на Юго-Восточную и Южную сторону. Стены санузла окрашены, на полу кафель. В коридоре имеется кладовка, при продаже остается новый кухонный гарнитур из качественных материалов и современной фурнитуры, с каменной столешницей.|14 м²|Хороший ремонт|8 000 000 ₽|2 из 10
2 комнатная квартира  в районе Суходолье, ул. Николая Ростовцева, 22/1, |NA|2019|448850|Монолитно-каркасный|Частично|79.3 м²|Продается просторная светлая квартира формата 2+ с большой кухней-гостиной. Выполнен дорогой качественный ремонт по дизайн-проекту. Все делалось для себя. Установлены кондиционеры и встроенные шкафы. Территория жилого комплекса закрыта, ведется видеонаблюдение. В шаговой доступности новая школа и детский сад, супермаркет Лента, магазины и салоны услуг. Удобная транспортная развязка. |31 м²|Дизайн-проект|9 600 000 ₽|7 из 18
3 комнатная квартира  в районе Лесобаза (Тура), ул. Не присвоена, 246, |2.7 м|1982|476489|Кирпич|Без мебели|61.92 м²|Предлагаем 3 комнатную, светлую, просторную квартиру в новом доме. Кухня гостиная и две отдельные спальни, два санузла, планировка вам точно понравится. Цена вам тоже придется по душе. Ключи на руках. Показ в любое время.|18 м²|Улучшенная черновая|4 700 000 ₽|2 из 9
2 комнатная квартира  в Заречном 2 мкрн., ул. Газовиков, 3, г. Тюмень|NA|1983|157235|Панель|Частично|50.3 м²|"Предлагается Вашему вниманию отличная квартира в Заречном микрорайоне. Квартира частично меблирована, заезжай и живи. Во дворе дома школа № 62 и детский сад №167. Интересное место для проживания, рядом спортивный комплекс ""Здоровье"", аквапарк ""Лето Лето""."|8 м²|Обычное состояние|3 700 000 ₽|1 из 9
